Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Кукареку;N/A;22,02;80,00;ILS;Yes
Мамины субботы;N/A;22,02;80,00;ILS;No
Сделано в Израиле;N/A;19,27;70,00;ILS;Yes
Истории мореплавателей из Вавилонского Талмуда;N/A;23,40;85,00;ILS;Yes
Евреи России. Времена и события;N/A;57,81;210,00;ILS;Yes
Свадебные обряды у евреев;N/A;52,30;190,00;ILS;Yes
Поучения отцов эпохи Второго храма;N/A;39,91;145,00;ILS;Yes
История хасидизма;N/A;34,41;125,00;ILS;Yes
Мир агадической литературы;N/A;19,27;70,00;ILS;Yes
Секс, любовь и миграция;N/A;30,28;110,00;ILS;No
Октябрь. Память и создание большевистской революции;N/A;26,15;95,00;ILS;No
Подземные классики. Иннокентий Анненский. Николай Гумилев;N/A;39,91;145,00;ILS;Yes
Политика и театр в Европе ХХ века. Воображение и сопротивление;N/A;23,40;85,00;ILS;No
Последний поэт. Ахматова в 60-е. В 2 т.;N/A;60,56;220,00;ILS;Yes
Поколение пустыни. Москва - Вильно - Тель-Авив - Иерусалим;N/A;37,16;135,00;ILS;No
Великий змей. Тайны Левиафана;N/A;28,90;105,00;ILS;Yes
Кастрюля для фаршированной рыбы. Повести и рассказы;N/A;26,15;95,00;ILS;Yes
Достоинство и различия. Как избежать столкновения цивилизаций;N/A;26,15;95,00;ILS;Yes
Традиция Еноха-Метатрона;N/A;28,90;105,00;ILS;Yes
Стихи. Избранные и новые;N/A;15,14;55,00;ILS;Yes
Мы их ниоткуда;N/A;15,14;55,00;ILS;Yes
Миры Уммы;N/A;23,40;85,00;ILS;No
Невероятные приключения древней рукописи;N/A;31,66;115,00;ILS;No
Избранный;N/A;22,02;80,00;ILS;Yes
Тевье-молочник;N/A;31,66;115,00;ILS;Yes
Шарлатан;N/A;24,77;90,00;ILS;Yes
1863;N/A;19,27;70,00;ILS;Yes
Такие люди были раньше;N/A;22,02;80,00;ILS;Yes
Грамматика иврита без репетитора. Все сложности в простых схемах;N/A;15,14;55,00;ILS;No
Возле войны. Одесса. Февраль 2022 — лютий 2023;N/A;19,27;70,00;ILS;Yes
Еврейский мир. Важнейшие знания о еврейском народе, его истории и традициях;N/A;39,91;145,00;ILS;Yes
Я - русский еврей;N/A;22,02;80,00;ILS;Yes
О мире, которого больше нет;N/A;19,27;70,00;ILS;No
Размышления об этике. Беседы о недельных главах Торы;N/A;26,15;95,00;ILS;Yes
Размышления о духовности. Беседы о недельных главах Торы;N/A;26,15;95,00;ILS;Yes
Братья Ашкенази;N/A;26,15;95,00;ILS;No
Фридл;N/A;24,77;90,00;ILS;No
Поймать океан;N/A;17,89;65,00;ILS;No
Свободная охота. Рассказы воздушного стрелка;N/A;17,89;65,00;ILS;No
Дождитесь меня;N/A;15,14;55,00;ILS;Yes
Бестолковая любовь и другие прошлогодние события;N/A;20,64;75,00;ILS;Yes
Конфеты или коньяк?;N/A;22,02;80,00;ILS;Yes
Мир красивых бабочек;N/A;13,76;50,00;ILS;Yes
Поместье. Книга вторая;N/A;24,77;90,00;ILS;No
Субботний путеводитель;N/A;26,15;95,00;ILS;Yes
О женщинах;N/A;17,89;65,00;ILS;No
Клуб любителей Хайфы. Абонемент на любые четыре лекции;7500501882891;55,05;200,00;ILS;Yes
Подсознательный бог. Психотерапия и религия;N/A;23,40;85,00;ILS;No
Логотерапия и экзистенциальный анализ: статьи и лекции;N/A;15,14;55,00;ILS;Yes
Ветер уносит мертвые листья;N/A;23,40;85,00;ILS;Yes
Обычные люди. 101-й полицейский батальон и «окончательное решение еврейского вопроса»;N/A;28,90;105,00;ILS;Yes
52 упрямые женщины: Ученые, которые изменили мир;N/A;19,27;70,00;ILS;No
Каменная месса;N/A;23,40;85,00;ILS;Yes
Изобретено в СССР. История изобретательской мысли с 1917 по 1991 год;N/A;37,16;135,00;ILS;Yes
Философия безмятежности. Как учение Эпикура помогает жить в современном мире;N/A;17,89;65,00;ILS;No
Такая смешная любовь;N/A;24,77;90,00;ILS;Yes
Тени за стеклом;N/A;23,40;85,00;ILS;Yes
Капеллан дьявола;N/A;31,66;115,00;ILS;Yes
Заводной апельсин;N/A;15,14;55,00;ILS;No
